Timestamp,F1_415nm,F2_445nm,F3_480nm,F4_515nm,F5_555nm,F6_590nm,F7_630nm,F8_680nm
2025-07-30 16:39:29,1.00,2.00,2.38,3.72,28.00,16.00,4.38,5.76
2025-07-30 16:40:29,0.04,0.00,0.00,0.21,3.04,2.93,0.00,0.39
2025-07-30 16:41:29,5.00,9.00,11.93,16.00,98.69,50.72,20.00,21.62
2025-07-30 16:42:29,4.93,8.41,11.24,15.86,95.48,48.41,18.97,21.07
2025-07-30 16:43:29,1.38,3.00,4.00,5.24,39.97,23.79,6.83,8.00
2025-07-30 16:44:29,1.97,3.34,4.00,5.86,44.45,27.14,7.31,8.69
2025-07-30 16:45:29,2.03,4.00,4.90,6.41,48.00,28.00,8.00,9.93
2025-07-30 16:46:29,2.03,3.21,4.00,5.86,44.83,27.03,7.24,8.55
2025-07-30 16:47:29,2.00,4.00,4.62,6.14,50.45,30.83,8.00,9.66
2025-07-30 16:48:29,4.00,6.72,8.10,12.00,89.52,54.69,14.90,17.52
2025-07-30 16:49:29,3.00,5.00,6.00,9.00,63.29,36.00,11.00,13.00
2025-07-30 16:50:29,3.00,5.17,7.00,10.00,69.07,39.97,12.00,14.00
2025-07-30 16:51:29,3.86,6.00,8.00,11.41,79.62,43.86,14.10,16.79
2025-07-30 16:52:29,15.03,21.83,29.28,40.97,298.62,186.14,49.59,57.90
2025-07-30 16:53:29,6.38,10.83,14.34,19.69,135.79,80.90,24.45,27.79
2025-07-30 16:54:29,1.48,3.00,3.34,4.97,42.59,26.97,6.34,8.28
2025-07-30 16:55:29,1.00,2.00,2.00,3.10,27.07,15.72,4.00,5.41
2025-07-30 16:56:29,1.00,2.00,2.00,3.04,25.46,14.14,4.00,5.00
2025-07-30 16:57:29,1.03,2.00,2.10,3.62,28.00,16.14,4.41,6.00
2025-07-30 16:58:29,0.79,1.97,2.07,3.14,25.48,14.07,3.83,5.38
2025-07-30 16:59:29,1.00,2.00,2.03,3.10,26.14,14.14,4.07,5.14
2025-07-30 17:00:29,1.00,2.00,2.00,3.07,24.72,13.86,4.00,5.00
2025-07-30 17:01:29,0.72,2.00,2.00,3.00,21.59,11.38,3.66,4.59
2025-07-30 17:02:29,1.00,3.00,3.07,5.17,33.59,16.00,6.41,8.28
2025-07-30 17:03:29,1.00,3.00,3.00,4.59,31.76,14.00,6.00,7.93
2025-07-30 17:04:29,0.00,1.69,1.00,2.07,16.14,9.41,2.69,3.21
2025-07-30 17:05:29,0.10,1.48,1.14,2.17,15.69,8.55,2.69,3.34
2025-07-30 17:06:29,0.72,1.97,2.00,2.97,21.62,12.28,3.10,4.00
2025-07-30 17:07:29,1.24,3.00,3.34,4.79,36.59,19.52,6.24,7.41
2025-07-30 17:08:29,6.55,9.69,12.34,17.76,141.28,85.03,22.72,27.03
2025-07-30 17:09:29,12.57,18.32,25.11,35.25,259.36,147.54,44.61,53.07
2025-07-30 17:10:29,6.00,9.07,11.41,16.55,131.93,78.59,21.31,25.31
2025-07-30 17:11:29,9.90,14.10,19.10,27.72,200.17,112.76,34.34,41.59
2025-07-30 17:12:29,8.00,11.97,15.48,22.17,166.55,96.72,28.07,33.14
2025-07-30 17:13:29,11.38,16.55,22.38,31.93,232.55,130.31,39.86,47.72
2025-07-30 17:14:29,11.34,16.31,21.97,31.28,231.31,132.69,39.48,47.03
2025-07-30 17:15:29,11.86,16.86,22.17,31.97,241.69,141.38,40.00,48.17
2025-07-30 17:16:29,12.21,17.62,24.00,34.28,258.24,150.10,42.83,51.66
2025-07-30 17:17:29,1.18,3.29,3.64,8.43,46.39,4.61,15.32,24.57
2025-07-30 17:18:29,1.24,2.21,2.41,3.45,34.76,22.28,4.66,6.31
2025-07-30 17:19:29,2.59,4.14,4.97,7.31,65.00,41.34,9.41,12.07
2025-07-30 17:20:29,4.75,7.21,9.61,14.04,112.86,69.89,18.11,21.57
2025-07-30 17:21:29,210.83,308.62,461.34,672.17,1000.00,1000.00,843.79,958.24
2025-07-30 17:22:29,87.17,127.21,186.31,268.45,921.00,705.62,342.38,390.66
2025-07-30 17:23:29,37.38,55.83,79.38,112.93,731.48,365.34,140.66,162.24
2025-07-30 17:24:29,26.55,39.34,55.52,78.55,516.10,264.48,98.14,113.83
2025-07-30 17:25:29,12.52,18.03,24.72,35.21,259.76,148.17,44.17,52.62
2025-07-30 17:26:29,15.86,22.90,31.48,45.17,323.76,178.76,57.21,67.83
2025-07-30 17:27:29,0.07,0.31,0.31,0.72,8.10,5.72,0.72,1.41
2025-07-30 17:28:29,20.31,29.62,41.55,60.31,410.38,214.21,75.62,88.72
2025-07-30 17:29:29,30.52,43.97,60.41,86.14,622.41,363.34,107.41,126.55
2025-07-30 17:30:29,28.34,40.97,56.52,79.45,603.17,369.97,98.76,116.14
2025-07-30 17:31:29,12.00,17.93,24.07,34.68,250.32,137.57,43.43,51.46
2025-07-30 17:32:29,13.24,20.45,28.76,39.00,270.41,156.03,47.97,54.10
2025-07-30 17:33:29,25.59,36.93,51.00,72.24,505.66,276.66,90.31,106.10
